_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
65031df1b3a5cd15260a8531||106.79|93.53|113.59|74.68|534,12,1,4|time|60|-1|3|60|0|16.19|false|false|english|none|normal|false|false|false||1694703089000
65031d97b3a5cd15260a804b||120.2|96.38|125.4|78.85|601,8,3,1|time|60|-1|9|60|0|83.12|false|false|english|none|normal|false|false|false||1694702999000
65031cb7b3a5cd15260a7416||110.6|95.96|115.8|74.2|553,6,1,2|time|60|-1|7|60|0|76.91|false|false|english|none|normal|false|false|false||1694702775000
6502fb0cb3a5cd1526c194ff||108.19|96.21|112.79|75.76|541,6,0,1|time|60|-1|5|60.01|0|50.6|false|false|english|none|normal|false|false|false||1694694156000
650197c11f44667c8e9b52a9||111.79|95.2|118.79|74.17|559,12,1,1|time|60|-1|12|60|0|125.29|false|false|english|none|normal|false|false|false||1694603201000
6501947f1f44667c8e941e9f||120.8|97.16|126|76.12|604,9,1,1|time|60|-1|5|60|0|34.25|false|false|english|none|normal|false|false|false||1694602367000
65018f291f44667c8e894c07||112.19|96.31|116.99|77.5|561,6,2,2|time|60|-1|8|60.01|0|110.65|false|false|english|none|normal|false|false|false||1694601001000
65018e4a1f44667c8e85b89f||113.59|96.5|116.79|69.4|568,4,0,2|time|60|-1|4|60|0|15.56|false|false|english|none|normal|false|false|false||1694600778000
6501374a1f44667c8ed542d9||107.2|93.68|112.2|73.74|536,8,2,3|time|60|-1|8|60|0|43.67|false|false|english|none|normal|false|false|false||1694578506000
650136a31f44667c8ed1b1a8||114.4|96.53|118.6|76.25|572,6,0,3|time|60|-1|13|60|0|116.46|false|false|english|none|normal|false|false|false||1694578339000
650134d11f44667c8ed1a503||113.19|94.95|119.79|75|566,8,1,8|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1694577873000
64fd7a221f44667c8e29e792||114.39|95.6|119.19|77.98|572,7,0,1|time|60|-1|7|60|0|28.03|false|false|english|none|normal|false|false|false||1694333474000
64fd68031f44667c8e060cb5||98.6|92.93|110.2|75.26|493,8,14,0|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1694328835000
64fd67c51f44667c8e060b23||107.6|94.04|114.8|78.55|538,15,2,1|time|60|-1|6|60|0|57.89|false|false|english|none|normal|false|false|false||1694328773000
64fd27991f44667c8e85281d||109.4|96.71|112.8|69.92|547,4,0,2|time|60|-1|5|60|0|23.83|false|false|english|none|normal|false|false|false||1694312345000
64fc99751f44667c8e5fb4a1||121.2|97.02|125|76.73|606,4,0,3|time|60|-1|9|60|0|108.61|false|false|english|none|normal|false|false|false||1694275957000
64fc98ad1f44667c8e5fae7d||115.78|94.91|123.18|78.28|579,12,1,2|time|60|-1|8|60.01|0|61.31|false|false|english|none|normal|false|false|false||1694275757000
64fc978c1f44667c8e5fa506||116.99|95.82|121.79|76.05|585,7,2,0|time|60|-1|11|60|0|78.76|false|false|english|none|normal|false|false|false||1694275468000
64f5ae8558c9a3c8c38cb35a||111.19|92.95|124.39|73.96|556,12,11,4|time|60|-1|6|60|0|26.05|false|false|english|none|normal|false|false|false||1693822597000
64f0609383e8f7f36f3ed666||102.98|93.31|114.78|76.53|515,10,14,1|time|60|-1|28|60.01|0|213.1|false|false|english|none|normal|false|false|false||1693474963000
64ee1f0183e8f7f36fb0ac84||108.6|94.63|108.8|73.35|543,1,0,0|time|60|-1|4|60|0|6.26|false|false|english|none|normal|false|false|false||1693327105000
64ee060383e8f7f36f7e8852||109.4|94.7|119.8|77.58|547,18,1,2|time|60|-1|9|60|0|81.44|false|false|english|none|normal|false|false|false||1693320707000
64eb5d9e83e8f7f36f1ec38e||122.17|97.78|125.37|77.91|611,6,0,1|time|60|-1|42|60.01|0|229.05|false|false|english|none|normal|false|false|false||1693146526000
64eace4383e8f7f36f0411a0||111.4|95.11|120|73.49|557,9,4,3|time|60|-1|3|60|0|39.27|false|false|english|none|normal|false|false|false||1693109827000
64eacd8283e8f7f36ffd1415||119.6|97.75|123|81.28|598,4,0,2|time|60|-1|2|60|0|20.89|false|false|english|none|normal|false|false|false||1693109634000
64eacd2a83e8f7f36ffd1206||112.99|96.21|119.58|78.56|565,7,2,1|time|60|-1|6|60.01|0|71.32|false|false|english|none|normal|false|false|false||1693109546000
